Author,Comment,Likes,Replies,Date
"@bishnubsl07","Wow how beautifully you presented this issue 💖<br>You didn&#39;t even ask for Like,  comment,  share blahh blahh, <br>Truly appreciable 🍀🍀",1,0,11/1/2022
"@thinlizzy2090","Im happy in dubai",0,0,11/1/2022
"@Ratnagiri20","Kina vanne Kura ta clear xa ni Nepal ma vabisy andhakaar ma xa dhukka xa ani subidha thorai xa.",0,0,11/1/2022
"@Europ-t9x","यथार्थ यै हो जुन भिडिओ ले देखाउछ europ को सपनामा turkey देखि illigal जानेमा क्यै ले ज्यान गुमाय कयौ महिला बलात्कार भय कति अपरण मा परे अनि फिरती रकम लाखौ गुमाय पिडा सारो छ यो यात्रा कठिन छ तसर्थ जानु भाँडा पहिला प्रलोभन मा नाफस्नु होला राम्ररी सोच्नुहोला 🙏🙏",0,0,11/1/2022
"@yubrajsharma3829","Kuddoss to such qualities content!!!",0,0,10/31/2022
"@Aussie-Assna-Blancos","Rather than giving 40-50 lakhs to agents to travel illegally it is easier to study engineering or nursing and migrate to australia.",0,0,10/31/2022
"@Myopinionvdo","Kudos to you Dipesh Ji! Thank you for letting us know the truth. Your videos are to the point and makes sense as what might have happened. Its an eye opener for many of us Nepalese. Looking forward to learn more from your videos.",7,0,10/31/2022
"@Memenginee","i wished the video to be abit longer.",0,0,10/31/2022
"@aelly25","Like the way you share the whole information about it !!!!",0,0,10/31/2022
"@kunwarkamal9104","very sad 😢",0,0,10/31/2022
"@AashirPlayz","Dipesh Brother, you&#39;re doing really a great task, please don&#39;t fred up and continue further. I am sure that your hardwork is going to pay off really well and will contribute in revealing the &#39;secret&#39; dark-facts that rare people knows.. And also congrats for 90K+ subs, good luck for 100K very soon :)",12,0,10/31/2022
"@Red_Panda-1315","After hearing this I think this video will saved many life of our nepali people&#39;s who wants to migrate in future for better way of living life but there is no guarantee they will reach or not to the place so this video will help them to change their mind so don&#39;t do any risky thing&#39;s with your life",0,0,10/31/2022
"@iamagoogleuser3869","Best channel",0,0,10/31/2022
"@machapoems1578","all credit goes to a#<a href=""http://www.youtube.com/results?search_query=%23hole"">#hole</a> plliticians and beurocrats",0,0,10/31/2022
"@RonEez","Hamro Neta harule garda aaja hami Nepali ko yesto halat vako xa. <br><a href=""http://www.youtube.com/results?search_query=%23nonotagain"">#NoNotAgain</a>",0,0,10/31/2022
"@gray.243","what if there&#39;s a movie on this journey? 🙂",0,0,10/31/2022
